catid,artid,cat_name,art_details,art_name,ref,art_price
206,2124,Animales resina,Erizo de resina de 2.5cm,Erizo de resina,541,1.5
206,2125,Animales resina,Gallina blanca de pie de de resina de 4cms,Gallina blanca,791,2.3
206,2126,Animales resina,Gallina de resina en pie color marron crema de 4cm,Gallina marron crema,792,2.3
206,2127,Animales resina,Gallina de resina blanca picoteando de 4cms,Gallina picoteando,790,2.3
206,2128,Animales resina,Gallina de resina de 4 cms,Gallina resina,793,2.3
206,2129,Animales resina,Gato de resina dormido en cesta de mimbre de 4cm.,Gato dormido grande,824,3.3
206,2130,Animales resina,Gato de resina saliendo de la gatera de 4cms,Gato saliendo gatera,746,3.5
232,2131,Animales de plástico,Jabalí marrón de plástico ,Jabalí marrón,582,2
206,2132,Animales resina,Gato de resina  de 2cms,Gato resina pequeÃ±o,545,1.8
206,2133,Animales resina,Gato de resina de 3cms,Gato resina mediano,0545med   ,2
206,2134,Animales resina,Nido de resina de palomas de 2cms,Nido 2 palomas,645,2
206,2135,Animales resina,Oca blanca de resina de 3cms,Oca de resina,522,1.5
206,2136,Animales resina,Perro echado de resina de 6.5cm,Perro echado ,820,4.5
206,2137,Animales resina,Perro Fox Terrier en resina de 4cm,Perro Fox Terrier,816,3.8
206,2138,Animales resina,Perro pata alzada de 3cm,Perro pata alzada,822,3.2
206,2139,Animales resina,Pollitos de resina de 1.5cm (6 Posturas diferentes),Pollito resina,2012-00626 ,1
232,2140,Animales de plástico,Rana verde de plástico de 1cm,Rana verde,593,0.5
232,2141,Animales de plástico,Ratï¿½n gris de 1cm (Precio unidad),Raton gris,594,0.5
206,2142,Animales resina,Cobra negra de 5cms,Serpiente negra,2011-00621 ,1.5
206,2143,Animales resina,Serpiente de cascabel de 5cms,Serpiente cascabel,2011-00622 ,1.5
206,2144,Animales resina,Serpiente gris de 5cms,Serpiente gris,2011-00623 ,1.5
206,2145,Animales resina,Tejï¿½n de resina de 2cms,Tejon de resina,"00811 	 ",2
206,2146,Animales resina,Tortuga de resina de 3.5cm,Tortuga grande,533,2.2
232,2147,Animales de plástico,Zorro de plástico de 5X3cm,Zorro de plástico,592,2.3
206,2148,Animales resina,Perro de resina (10 modelos)  de 3.5cm,Perro de resina,521,2.5
206,2149,Animales resina,Pavo de resina de 5cm y 3.5cm,Pavo de resina,598,2.3
192,2231,Cestos,Cesta mimbre. Medidas de la base 4x3cm,Cesta ovalada,443,2
192,2232,Cestos,Cesta mimbre. Medidas de la base 3cm de diametro. 4cm de alto,Cesta rejilla,445,2.5
192,2230,Cestos,Cesta mimbre 2 asas pequeÃ±a. Medidas de la base 4x3cm,Cesta pequeÃ±a,0442peq,1.5
192,2229,Cestos,Cesta mimbre 2 asas mediana. Medidas de la base 5x4 cm.,Cesta mediana,442,1.5
206,2162,Animales resina,Gallina de marmolina de 15-21cm (3 posturas),Oca de marmolina,28363,2.7
206,2163,Animales resina,Pato de marmolina de 10-12cm (2 posturas),Pato de marmolina,28058,1.9
206,2164,Animales resina,Pato de marmolina de 15-21cm (2 posturas),Pato de marmolina,28358,2.7
232,2165,Animales de plástico,Cerdo de durexina de 8-12cm,Cerdo de durexina,663,2
206,2166,Animales resina,Cabra de marmolina 10-12cm,Cabra marmolina med,28054,2.9
206,2167,Animales resina,Cabra de marmolina 15-21cm,Cabra marmolina gr.,28354,3.9
